RecordedDate,seconds,n_turnsOK,whichva,VA_Google,VA_Amazon,VA_Apple,VA_Microsoft,VA_Samsung,VA_Other,VA_didnotuseVA,QID1_6_TEXT,vamost,devicemost,partweek,ndays,times_per_day,whenuse,when_morning,when_lunch,when_afternoon,when_evening,when_night,check_n_turns,last_service_when,recall_last,last_service_which,last_service_howlong,socpres1,socpres2,socpres3,socpres4,socpres5,socpres6,socpres7,socpres8,socpres9,socpres10,socpres11,socpres12,epsi1,epsi2,epsi3,epsi4,epsi5,epsi6,comp1,comp2,comp3,warm1,warm2,warm3,QID34,personalized1,personalized2,personalized3,privrisk1,privrisk2,privrisk3,privrisk4,privrisk5,sat1,sat2,sat3,gender,age,country,edu,QID45_6_TEXT,employ,marit,income1,income2
2020-05-06T08:01:24Z,193,1,13,1,0,1,0,0,0,0,NA,Apple,Smartphone,All days,7,4,13,1,0,1,0,0,1,Yesterday,9,other,2,2,3,1,1,1,1,1,1,1,1,3,3,4,4,1,1,3,4,5,5,5,3,3,3,3,9,9,7,7,7,7,7,7,5,5,5,2,30,1,2,NA,4,2,3,NA
2020-05-06T08:01:25Z,186,1,2,0,1,0,0,0,0,0,NA,Amazon,Smartphone,Weekdays,2,5,12,1,1,0,0,0,1,5 days ago,5,play music,50,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,5,4,3,4,3,1,2,3,2,3,8,7,8,9,8,9,8,9,3,3,4,1,25,1,3,NA,1,1,3,NA
2020-05-06T08:01:36Z,224,1,1,1,0,0,0,0,0,0,NA,Google,Smartphone,Weekdays,2,3,1,1,0,0,0,0,1,Yesterday,5,check weather/news,10,3,4,4,4,3,3,4,4,3,4,3,3,3,3,4,4,4,3,1,1,5,4,3,4,3,7,8,7,8,9,8,8,9,3,4,3,1,64,1,3,NA,1,2,2,NA
2020-05-06T08:01:40Z,226,1,14,1,0,0,1,0,0,0,NA,Google,Smartphone,Weekdays,4,2,35,0,0,1,0,1,1,5 days ago,9,play music,30,5,5,4,4,4,4,4,4,5,4,4,5,5,5,4,4,4,5,4,4,5,4,4,5,3,8,9,8,9,9,10,10,9,4,4,5,1,30,1,3,NA,1,2,3,NA
2020-05-06T08:01:44Z,210,1,3,0,0,1,0,0,0,0,NA,Apple,Smartphone,Weekend,1,0,4,0,0,0,1,0,1,> 7 days ago,2,check traffic /navigation,5,2,2,3,3,4,2,2,3,2,3,2,2,4,4,4,4,4,4,4,4,4,3,4,3,3,8,8,7,10,10,10,9,10,4,4,4,1,30,1,2,NA,7,1,2,NA
2020-05-06T08:01:46Z,174,1,123,1,1,1,0,0,0,0,NA,Google,Smartphone,Weekend,3,5,1,1,0,0,0,0,1,4 days ago,2,play music,45,5,4,4,5,4,5,5,5,5,4,4,4,4,4,5,4,5,5,4,5,4,5,4,4,3,8,9,8,10,9,10,9,10,4,5,4,1,47,1,3,NA,1,2,2,NA
2020-05-06T08:01:48Z,247,1,23,0,1,1,0,0,0,0,NA,Amazon,Other,All days,7,5,1345,1,0,1,1,1,1,3 days ago,9,play music,3,4,5,1,1,1,1,4,1,4,1,5,4,5,5,5,5,5,5,4,4,4,4,3,3,3,9,9,8,8,8,7,8,9,4,4,4,2,47,1,4,NA,1,2,4,NA
2020-05-06T08:01:51Z,205,1,2,0,1,0,0,0,0,0,NA,Amazon,Smartphone,All days,5,3,345,0,0,1,1,1,1,2 days ago,3,buy/order something,5,4,4,2,2,2,2,4,2,4,1,4,5,4,3,3,4,3,4,4,5,4,4,3,3,3,8,9,8,8,8,8,8,9,4,5,5,1,33,1,3,NA,1,1,2,NA
2020-05-06T08:01:51Z,243,1,1234,1,1,1,1,0,0,0,NA,Google,Smart Speaker,Weekend,2,3,2,0,1,0,0,0,1,2 days ago,2,check weather/news,20,4,5,5,4,5,4,5,4,5,4,4,4,4,5,3,3,4,4,3,1,3,2,1,2,3,8,9,8,9,8,9,8,9,4,5,4,1,35,1,4,NA,1,2,2,NA
2020-05-06T08:01:52Z,240,1,234,0,1,1,1,0,0,0,NA,Amazon,Smart Speaker,Weekdays,5,5,14,1,0,0,1,0,1,Yesterday,9,check weather/news,5,4,5,1,1,1,1,5,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,4,4,3,8,9,8,7,7,7,7,7,4,4,5,1,28,1,3,NA,1,1,3,NA
2020-05-06T08:01:56Z,184,1,12,1,1,0,0,0,0,0,NA,Amazon,Smart Speaker,All days,2,2,13,1,0,1,0,0,1,2 days ago,2,buy/order something,2,3,3,4,4,4,3,2,3,4,3,3,2,2,3,2,5,4,4,4,4,4,4,5,4,3,8,7,6,9,8,7,9,8,3,4,4,1,28,1,2,NA,1,1,2,NA
2020-05-06T08:01:58Z,148,1,12,1,1,0,0,0,0,0,NA,Amazon,Smart Speaker,Weekend,2,10,12345,1,1,1,1,1,1,3 days ago,2,set timer,30,3,2,3,1,5,2,5,5,3,2,3,2,1,1,1,1,2,2,3,2,5,2,2,5,3,1,7,7,10,10,8,8,6,5,2,3,1,28,1,2,NA,1,1,2,NA
2020-05-06T08:01:59Z,235,1,2,0,1,0,0,0,0,0,NA,Amazon,Smart Speaker,All days,3,1,45,0,0,0,1,1,1,4 days ago,10,other,4,3,3,1,1,1,1,4,1,4,1,5,5,4,5,3,3,3,5,5,5,5,4,5,4,3,9,9,9,8,8,8,8,8,5,5,5,1,29,1,3,NA,1,2,3,NA
2020-05-06T08:02:02Z,259,1,2,0,1,0,0,0,0,0,NA,Amazon,Smart Speaker,Weekdays,5,4,13,1,0,1,0,0,1,7 days ago,3,play music,1,3,4,2,2,2,1,4,4,3,1,5,4,5,4,4,4,4,5,4,4,5,4,3,4,3,8,9,9,9,9,10,10,10,4,4,4,2,27,1,3,NA,1,1,3,NA
2020-05-06T08:02:03Z,251,1,2,0,1,0,0,0,0,0,NA,Amazon,Smart Speaker,All days,7,10,12345,1,1,1,1,1,1,Yesterday,10,add items to a shopping list,5,3,3,1,1,1,1,3,1,3,1,3,4,4,4,4,3,4,4,4,4,4,3,3,3,3,8,8,7,7,7,7,7,8,4,4,4,1,38,1,2,NA,4,1,2,NA
2020-05-06T08:02:03Z,229,1,2,0,1,0,0,0,0,0,NA,Amazon,Smart Speaker,Weekend,3,0,345,0,0,1,1,1,1,> 7 days ago,9,make a reservation,2,1,1,3,1,3,1,1,1,1,1,1,4,3,3,3,1,4,5,5,5,4,4,3,3,3,9,9,9,9,9,7,9,9,5,5,5,2,22,1,3,NA,7,1,3,NA
2020-05-06T08:02:15Z,254,1,1,1,0,0,0,0,0,0,NA,Google,Smartphone,Weekdays,2,1,13,1,0,1,0,0,1,5 days ago,3,check traffic /navigation,2,3,4,2,3,2,2,4,2,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,8,9,8,7,8,7,7,7,4,4,4,1,34,1,2,NA,1,3,2,NA
2020-05-06T08:02:17Z,265,1,123,1,1,1,0,0,0,0,NA,Apple,Smartphone,Weekend,4,10,34,0,0,1,1,0,1,Yesterday,5,play music,2,4,4,2,2,1,2,4,1,4,2,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,9,8,8,7,8,7,8,7,4,5,4,1,29,1,3,NA,1,2,5,NA
2020-05-06T08:02:19Z,115,1,2,0,1,0,0,0,0,0,NA,Amazon,Smart Speaker,Weekend,2,2,1,1,0,0,0,0,1,Today,5,check traffic /navigation,15,4,4,4,5,3,5,4,4,5,4,3,4,4,5,3,3,4,4,2,3,2,1,3,4,2,8,9,9,9,8,9,9,9,4,5,5,1,36,1,3,NA,2,2,3,NA
2020-05-06T08:02:21Z,132,1,234,0,1,1,1,0,0,0,NA,Amazon,Smart Speaker,All days,7,10,1345,1,0,1,1,1,1,2 days ago,5,play music,2,3,3,4,3,4,5,3,2,3,1,3,3,5,4,3,5,4,4,4,5,5,5,4,4,3,8,8,9,8,8,9,9,10,4,3,5,1,25,1,4,NA,1,2,3,NA
2020-05-06T08:02:22Z,303,1,123,1,1,1,0,0,0,0,NA,Amazon,Smart Speaker,All days,4,3,14,1,0,0,1,0,1,4 days ago,9,check traffic /navigation,5,3,3,3,2,2,2,3,2,3,2,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,8,7,8,8,8,8,9,8,4,4,4,2,44,1,3,NA,1,2,3,NA
2020-05-06T08:02:22Z,259,1,12,1,1,0,0,0,0,0,NA,Amazon,Smartphone,Weekend,5,5,4,0,0,0,1,0,1,2 days ago,3,play music,30,4,4,5,4,4,4,5,4,5,4,4,4,5,5,4,4,5,5,4,4,4,4,4,4,3,7,8,8,9,9,9,9,10,5,4,5,2,40,1,3,NA,1,2,2,NA
2020-05-06T08:02:24Z,182,1,1,1,0,0,0,0,0,0,NA,Google,Smartphone,All days,5,4,1245,1,1,0,1,1,1,2 days ago,3,set timer,3,4,2,2,1,2,2,5,3,4,2,4,2,4,4,4,5,4,4,4,4,4,2,4,4,3,8,8,6,7,7,8,9,7,4,4,4,1,41,1,2,NA,1,2,2,NA
